courseId,courseTitle,embeddedURL,views,likes,subscribers,channelName,videoTitle,uploadDate,thumbnail,description,duration,skill
0QUgvfuKvWU,C# Fundamentals for Beginners,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0QUgvfuKvWU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""C# Fundamentals for Beginners""></iframe>",213736,5516,414000,Microsoft Developer,C# Fundamentals for Beginners,2022-02-24,https://i.ytimg.com/vi/0QUgvfuKvWU/mqdefault.jpg,"Classic Throwback Series with Bob Tabor | Originally published in 2019
Install the latest version of Visual Studio at https://visualstudio.microsoft.com/?WT_mc_id=dotnet-58793-cxa and follow along at home too.

C# is a powerful and widely used programming language that you can use to make websites, games, mobile apps, desktop apps and more with .NET. In this video, Bob Tabor shows you the tools, how to write code, debug features, explore customizations, and more.

More and newer videos: https://dotnet.microsoft.com/en-us/learn/videos?WT.mc_id=dotnet-58793-cxa
Free self-guided learning for .NET & C#: https://docs.microsoft.com/en-us/users/dotnet/collections/yz26f8y64n7k07?WT.mc_id=dotnet-58793-cxa
Download .NET: https://dotnet.microsoft.com/en-us/download?WT.mc_id=dotnet-58793-cxa

00:00:00 – Start
00:00:09 – Course Introduction
00:08:08 – Installing Visual Studio
While Bob uses Visual Studio 2015, you can install the latest version of Visual Studio at https://visualstudio.microsoft.com/?WT_mc_id=dotnet-58793-cxa and follow along at home too.
00:13:50 – Creating Your First C# Program
00:30:22 – Understanding Your First C# Program
00:47:24 – Working with Code Files, Projects, and Solutions
00:58:50 – Understanding Data Types and Variables
01:26:53 – The if Decision Statement
01:50:24 – Operators, Expressions, and Statements
02:05:36 – for Iteration Statement
02:24:04 – Understanding Arrays
02:41:42 – Defining and Calling Methods
03:12:51 – While Iteration Statement
03:30:54 – Working with Strings
03:54:24 – Working with Dates and Times
04:04:51 – Understanding Classes
04:28:47 – More About Classes and Methods
05:03:16 – Understanding Scope and Accessibility Modifiers
05:20:02 – Understanding Namespaces and Working with the .NET Class Library
05:37:46 – Creating and Adding References to Assemblies
05:58:06 – Working with Collections
06:21:21 – Working with LINQ
06:45:48 – Enumerations and the Switch Decision Statement
06:58:58 – Gracefully Handling Exceptions
07:20:02 – Understanding Events and Event-Driven Programming
07:40:58 – Where to Go from Here

#CSharp #beginner",PT8H13M30S,C#
wxznTygnRfQ,C# Full Course 🎮 (FREE),"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/wxznTygnRfQ?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""C# Full Course 🎮 (FREE)""></iframe>",515264,21501,749000,Bro Code,C# Full Course 🎮 (FREE),2021-07-05,https://i.ytimg.com/vi/wxznTygnRfQ/mqdefault.jpg,"C# tutorial beginners full course (C# for Unity)
#C# #tutorial #Unity
⭐️Time Stamps⭐️
#1   (00:00:00) C# tutorial for beginners 
#2   (00:06:30) output 💬
#3   (00:10:48) variables ✖️
#4   (00:19:32) constants π
#5   (00:20:35) type casting 💱
#6   (00:27:49) user input ⌨️
#7   (00:31:24) arithmetic operators 🧮
#8   (00:35:54) Math class 📏
#9   (00:40:55) random numbers 🎲
#10 (00:44:27) hypotenuse calculator program 📐
#11 (00:46:35) string methods 🔤
#12 (00:53:26) if statements 🤔
#13 (00:59:43) switches 🔀
#14 (01:02:50) logical operators && || 🔣
#15 (01:06:36) while loops ♾️
#16 (01:09:45) for loops 🔁
#17 (01:13:24) nested loops ➿
#18 (01:18:28) number guessing game 🔢
#19 (01:27:08) rock-paper-scissors game 🗿
#20 (01:38:52) calculator program 🖩
#21 (01:46:53) arrays 🚗
#22 (01:52:50) foreach loop ➰
#23 (01:54:42) methods 📞
#24 (02:00:37) return keyword ↩️
#25 (02:04:12) method overloading 🤯
#26 (02:05:44) params keyword ⚙️
#27 (02:08:52) exception handling ⚠️
#28 (02:13:53) conditional operator ❓
#29 (02:16:53) string interpolation 💲
#30 (02:20:18) multidimensional arrays ⬜
#31 (02:25:23) classes 📦
#32 (02:30:07) objects 🧍‍♂️
#33 (02:34:58) constructors 👷
#34 (02:40:41) static 🚫
#35 (02:45:43) overloaded constructors 🍕
#36 (02:50:04) inheritance 👪
#37 (02:54:32) abstract classes 👻
#38 (02:57:08) array of objects 🏬
#39 (03:00:57) objects as arguments 🧳
#40 (03:05:15) method overriding 🙅
#41 (03:09:07) ToString method 💭
#42 (03:12:34) polymorphism 🎭
#43 (03:17:44) interfaces 🐟
#44 (03:23:22) Lists 📃
#45 (03:30:07) List of objects 🦸‍♂️
#46 (03:33:35) getters & setters 🔒
#47 (03:37:41) auto implemented properties 🔐
#48 (03:40:26) enums 🪐
#49 (03:47:33) generics ⁉️
#50 (03:52:56) multithreading 🧶

Code from each topiccan be found pinned underneath each video in the C# playlist on the channel homepage
Full playlist: https://www.youtube.com/watch?v=r3CExhZgZV8&list=PLZPZq0r_RZOPNy28FDBys3GVP2LiaIyP_&ab_channel=BroCode

music credits 🎼 :
===========================================================
Up In My Jam (All Of A Sudden) by - Kubbi https://soundcloud.com/kubbi
Creative Commons — Attribution-ShareAlike 3.0 Unported— CC BY-SA 3.0 
Free Download / Stream: http://bit.ly/2JnDfCE
Music promoted by Audio Library https://youtu.be/tDexBj46oNI
===========================================================",PT4H1S,C#
q_F4PyW8GTg,C# Full Course - Learn C# 10 and .NET 6 in 7 hours,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/q_F4PyW8GTg?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""C# Full Course - Learn C# 10 and .NET 6 in 7 hours""></iframe>",182039,5873,75000,tutorialsEU,C# Full Course - Learn C# 10 and .NET 6 in 7 hours,2022-07-21,https://i.ytimg.com/vi/q_F4PyW8GTg/mqdefault.jpg,"🚀 SKYROCKET your C# skills and become a sought-after C# developer with our C# Progress Academy: https://academy-tutorials.eu/csharp-progress-academy-organic?utm_source=yt_big_csharp_full_course

🔥 WANT to LEARN everything needed to Jumpstart your C# CAREER? Then you have come to the right place! In this 7 HOUR course you will learn everything you need for the basics of C# development!


📚 Or do you like to the BOOK format more? We got you covered! Don’t forget to use our code mlpanjuta (40% off Tiny C# Projects in all formats) valid till August 2nd.
https://www.manning.com/books/tiny-c-sharp-projects?utm_source=tutorialseu&utm_medium=affiliate&utm_campaign=book_panjuta_tiny_7_19_22&utm_content=youtube&a_aid=tutorialseu&a_bid=1563805e 

👊 OR WAIT! ARE YOU LOOKING FOR A CHALLENGE? What about the 21-day Challenge to become an ASP and ANGULAR PRO? You have to check this out!
https://get.tutorials.eu/asp21day

Online C# Editor:
https://www.programiz.com/csharp-programming/online-compiler/

Enjoy our full 7 hour long c# course video!

We'll make sure to make a Developer out of you in no time!

Timestamps:
00:00:00 Welcome to this 7-hour C# course!
00:04:26 What is C#?
00:19:53 Changes in NET 6
01:11:15 A C# Exercise
01:15:22 Methods: The theory
01:22:39 Methods: Creating Methods
01:30:53 Methods: Return Value
01:39:35 User Input
01:48:22 Catching Errors
02:02:54 Operators
02:19:59 If statements
02:33:50 Use TryParse
02:41:11 If statements & nested if statements
02:50:44 Switch Case
02:57:14 If Statements: Shortcut
03:06:16 Loops
03:11:49 For Loops
03:18:37 Do While Loops
03:26:15 While Loops
03:32:06 Break & Continue
03:38:42 Object Oriented Programming
03:41:49 Creating Classes
03:52:38 Constructors
04:04:20 Multiple Constructors
04:15:45 Properties
04:34:56 Extending Properties
04:53:18 Members
05:08:35 Arrays
05:12:38 Using Arrays
05:19:38 Foreach Loop
05:29:02 2D Arrays
05:43:01 Nested For Loops
05:54:01 Jagged Arrays
06:02:58 ArrayLists
06:12:23 Debugging
06:24:21 Debugging: In depth
06:34:40 Debugging: Fixing Bugs
06:44:52 Defensive Programming
06:58:54 Thank you for watching!

So, what is C#?
C# (pronounced ""See Sharp"") is a modern, object-oriented, and type-safe programming language. C# enables developers to build many types of secure and robust applications that run in .NET. C# has its roots in the C family of languages and will be immediately familiar to C, C++, Java, and JavaScript programmers. This tour provides an overview of the major components of the language in C# 8 and earlier. If you want to explore the language through interactive examples, try the introduction to C# tutorials.

C# is an object-oriented, component-oriented programming language. C# provides language constructs to directly support these concepts, making C# a natural language in which to create and use software components. Since its origin, C# has added features to support new workloads and emerging software design practices. At its core, C# is an object-oriented language. You define types and their behavior.

C# programs run on .NET, a virtual execution system called the common language runtime (CLR) and a set of class libraries. The CLR is the implementation by Microsoft of the common language infrastructure (CLI), an international standard. The CLI is the basis for creating execution and development environments in which languages and libraries work together seamlessly.

A type defines the structure and behavior of any data in C#. The declaration of a type may include its members, base type, interfaces it implements, and operations permitted for that type. A variable is a label that refers to an instance of a specific type.

To learn more, make sure to watch the video, and we promise you that you'll become a C# developer by the end of the course! Have fun!

#csharp #coding #tutorial #learn #microsoft #net

TAGS
c#,.net,c-sharp,csharp,unity,programming,visual studio,c sharp,learn c#,c# programming,c# tutorial,c# for beginners,learn c# programming,c# tutorial for beginners,c# course,tutorial,coding,core,how,how to,learn,visual studio 2022,web development,c sharp tutorial,learn c# for beginners,learning c#,csharp tutorial for beginners,c# tutorials,beginner,learn c# for unity,learn c# in one video,csharp tutorial,.net framework,Complete 7 Hour C# NET 6.0 Course

tutorialsEU offers you free video tutorials about programming and development for complete beginners up to experienced programmers. 
This includes C#, Unity, Python, Android, Kotlin, Machine Learning, etc.
Stay tuned and subscribe to tutorialsEU: https://goo.gl/rBFh3x

Android: https://www.youtube.com/channel/UCjHtatblxvHvtj2rkqlkk8Q
C#: https://www.youtube.com/channel/UCqCnjtxdlG9qEgFJIUeLJNg
Unity: https://www.youtube.com/channel/UCajMHiOEuARZm6t2byQRtIA
Facebook: https://www.facebook.com/TutorialsEU-109380204093233
LinkedIn: https://www.linkedin.com/company/tutorialseu
Discord: https://discord.gg/zwbrpCNB2M",PT7H33S,C#
M5ugY7fWydE,C# Full Course : C# Tutorial for Beginners,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/M5ugY7fWydE?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""C# Full Course : C# Tutorial for Beginners""></iframe>",26676,935,1220000,Derek Banas,C# Full Course : C# Tutorial for Beginners,2022-11-11,https://i.ytimg.com/vi/M5ugY7fWydE/mqdefault.jpg,"In this C# Full Course I provide the most complete tutorial on C# all in one huge 9 Hour course! I cover not only the core C# language, but also provide numerous examples on how to use them to make real applications. At the end of the course we make a database management system from scratch.

This is basically a FREE Udemy course with NO ADS. I also provide organized code on GitHub that you can download for free here : https://github.com/derekbanas/C-Sharp-Course

If you like huge videos like this, please tell me in the comment section below. If you do, my next videos will be huge courses like this on .NET MAUI and Unity Game Programming with C#.

Best C# Book : https://amzn.to/3G58Qbq

MY UDEMY COURSES ARE 87.5% OFF TIL January 31st ($9.99) One is FREE

➡️ Python Data Science Series for $9.99 : Highest Rated & Largest Python Udemy Course + 56 Hrs + 200 Videos + Data Science https://bit.ly/Master_Python_45
➡️ C++ Programming Bootcamp Series for $9.99 : Over 23 Hrs + 53 Videos + Quizzes + Graded Assignments + New Videos Every Month https://bit.ly/C_Course_45
➡️ FREE 15 hour Golang Course!!! : https://bit.ly/go-tutorial6 (100 Available)

TABLE OF CONTENTS
00:00 Intro
00:39 Visual Studio Setup
02:00 System
02:39 Visual Studio Environment
03:26 Namespace
04:00 Class Basics
04:40 Main Function
05:30 Void
05:55 Main Arguments
06:28 WriteLine
07:10 Console Methods
09:03 Receive User Input
11:25 Variables
11:49 Data Types
23:00 Casting
28:30 Formatting Output
30:49 String Functions
41:00 Format
42:45 Escape Characters
43:20 Verbatim Strings
44:35  Arrays
48:50 For Loop
56:55 Function Basics 
58:45 Foreach
1:07:22 If / Else / Else If
1:12:10 Ternary Operator
1:12:50 Switch
1:17:43 While
1:20:20 Do While
1:20:40 Random
1:24:48 Exception Handling
1:30:41 StringBuilder
1:38:23  Functions
1:39:00 Access Specifier
1:46:26 Out Parameter
1:48:32 Pass By Reference
1:51:40 Passing Unknown Number of Parameters
1:56:00 Method Overloading
1:59:44 DateTime / TimeSpan
2:04:00 Enumerated Types
2:07:45 Classes / Objects
2:09:50 Constructor
2:10:50 Static
2:13:40 This
2:22:30 Structs
2:30:42 Nullable Types
2:33:30 Basic Setter / Getter
2:35:35 Getters / Setters Properties
2:39:00 Public / Private / Protected
2:40:10 Constants
2:40:37 Readonly
2:50:11 Inheritance
2:56:20 Virtual
2:59:40 Inner Class
3:03:01 Override Method
3:14:11  Abstract Classes / Methods
3:28:26 Polymorphism
3:29:19 Interfaces
3:38:10 Complex OOP Example
3:49:30  Warriors Fight to the Death
4:25:32 ArrayList
4:34:23  Dictionaries
4:39:44 Queues
4:44:02 Stacks
4:48:06 Generics
5:02:41 Delegates
5:08:28 Lambda
5:11:33 Where
5:17:40 Select
5:17:55 Range
5:19:30 Zip
5:21:25 Aggregate
5:23:12 Average
5:23:56 All
5:24:40 Any
5:25:05 Distinct
5:26:00 Except
5:27:09 Intersect
5:27:47 IEnumerator
5:34:12 Operator Overloading
5:46:09  Anonymous Types
5:49:51 LINQ
6:18:53 Threads
6:38:44 Directory Functions
6:43:15 File I/O
6:49:40 FileStreams
6:53:50 StreamWriter / StreamReader
6:57:45 BinaryWriter / BinaryReader
7:01:17 Serialization
7:15:10 XmlSerializer
7:26:32 Installing SQL Server
7:30:30 Connecting SQL Server to Visual Studio
7:32:58 Setting Up Database
7:41:30 WPF / Database Big Project
7:55:40 Design an Interface
8:12:53 Reading From Database
8:32:10 Add Data to Database
8:49:56 Delete Data from Database
8:51:35 Update Tables Automatically",PT8H58M36S,C#
hnjly9iBHso,"How To Learn C# in 2023 - Learning Path, Tips & Tricks, and More","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/hnjly9iBHso?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""How To Learn C# in 2023 - Learning Path, Tips &amp; Tricks, and More""></iframe>",89520,2681,352000,IAmTimCorey,"How To Learn C# in 2023 - Learning Path, Tips & Tricks, and More",2022-12-26,https://i.ytimg.com/vi/hnjly9iBHso/mqdefault.jpg,"How do I learn C# well? What order should I learn it in? Are there other topics that I should learn after I learn the basics? What can I do with C#? If you have ever asked any of these questions, please know that you are not alone. I get these questions often. As we move into 2023, these questions are coming up more and more as people plan out the coming year and how they want to improve as a developer.

In this video, I am going to walk you through what you could be as a C# developer, what order to learn the various C# topics in, what your learning cycle should look like, some tips and tricks for learning C# well, and how you can do all of this as easy as possible. 

Full Training Courses: https://www.IAmTimCorey.com
Mailing List:  https://signup.iamtimcorey.com/",PT46M37S,C#
w8rRhAup4kg,C# 2022 С НУЛЯ ДО ПРОФИ | СЛИВ ЛУЧШЕГО КУРСА,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/w8rRhAup4kg?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""C# 2022 С НУЛЯ ДО ПРОФИ | СЛИВ ЛУЧШЕГО КУРСА""></iframe>",416001,30398,169000,Роман Сакутин - GameDev,C# 2022 С НУЛЯ ДО ПРОФИ | СЛИВ ЛУЧШЕГО КУРСА,2022-12-26,https://i.ytimg.com/vi/w8rRhAup4kg/mqdefault.jpg,"Бесплатно выложили полный курс C# для вас наши дорогие зрители. 

Индивидуальное обучение разработке игр с доведение до трудоустройства - https://ijunior.ru/unity-start?utm_source=youtube&utm_medium=video&utm_campaign=description&utm_content=csharpin9hours

Мой телеграм - https://t.me/sakutin_csharp/

Моя студия Agava - https://agava.tech/
Моя книга  - http://csharpbook.sakutin.ru

ЯЮниор:
Группа - https://vk.com/holymonkey_sandbox
ЧАТ В ТЕЛЕГЕ - https://t.me/csharp_faggots_fan_club
Discord - https://discord.gg/MpHGV2S

Таймкоды: 
00:00:00 - Предисловие от Романа Сакутина
00:02:27 - Введение в программирование
00:05:15 - Установка Visual Studio бесплатно
00:09:50 - Переменные  в сишарп
00:19:40 - Как правильно именовать переменные  в сишарп
00:21:00 - Арифметические операторы в сишарп
00:29:30 - Логические операторы в сишарп
00:32:30 - Конкатенация в сишарп
00:35:28 - Интерполяция  в сишарп
00:40:24 - Конвертация типов в сишарп
00:44:20 - Действия с консоль на языке сишарп
00:52:23 - Инкремент и декремент в Сишарп
00:56:58 - Практическая задача ""Систему урона"" на сишарп
01:06:31 - Оператор If в CSharp 
01:16:39 - Логическое И и ИЛИ в сишарп
01:23:55 - Условный оператор Switch в сишарп
01:31:31 - Практика условных операторов в сишарп
01:31:31 - Практика условных операторов в сишарп
01:43:10 - Циклы в сишарп - while 
01:47:50 - Циклы в сишарп - for
01:55:27 - Практика циклов в сишарп 
02:08:55 - Генератор случайных чисел (Random) в сишарп
02:11:30 - Создание игры ""Угадай число""
02:21:05 - Создание игры ""Гладиаторские бои""
02:31:05 - Хитрости работы с консолью
02:39:17 - Одномерные массивы в сишарп
02:50:52 - Практика работы с массивами в сишарп
03:17:07 - Многомерные массивы в сишарп
03:32:13 - Практика работы с многомерными массивами в сишарп
03:48:26 - Ссылочные типы в сишарп
03:56:42 - Как увеличить массив в сишарп? 
04:00:35 - Создание консольные игры ""Бродилка"" на сишарп
04:13:32 - Строка - ЭТО МАССИВ?
04:14:20 - Цикл Foreach в сишарп
04:17:02 - Функции в сишарп
04:25:17 - Возврат значений и return в сишарп
04:27:57 - Необязательные параметры
04:32:11 - Ref и out в CSharp
04:43:55 - Перегрузка 
04:48:24 - Практика ""Healthbar""
04:54:14 - Роман Сакутин ""Делаем Pacman в консоли на C#""
05:31:01 - Коллекция List в сишарп
05:38:04 - Queue или очередь, FIFO коллекция в сишарп 
05:42:19 - Stack FILO коллекция в сишарп 
05:44:55 - Dictionary или словарь в сишарп 
05:52:36 - Что такое ООП? 
05:53:58 - Отношения в объектно ориентированном программирование
05:56:38 - Типизация в ООП
06:01:24 - Абстракция (Полиморфизм) в сишарп
06:02:08 - Классы и объекты в сишарп
06:05:53 - Поля и модификаторы доступа в сишарп
06:12:16 - Методы в сишарп
06:18:12 - Конструкторы в сишарп
06:25:00 - Практика ООП ""Программа для администратора кафе""
06:34:41 - Связь Has-a в языке сишарп
06:40:31 - Связь Is-a в языке сишарп
06:52:26 - Свойства в сишарп
07:00:21 - Это ломает вашу инкапсуляцию! 
07:06:28 - Практика ООП ""Бой героев"" 
07:17:05 - Виртуальные методы
07:22:36 - Паттерн ""Цикл обновления""
07:24:49 - Интерфейсы в сишарп
07:28:04 - Абстрактные классы в сишарп
07:32:34 - Статические члены и классы
07:35:56 - Распространённые проблемы static
07:38:35 - Статичеческий конструктор в сишарп
07:41:49 - СТАТИКА ЭТО ПЛОХО
07:44:00 - Структура VS Класс 
07:48:14 - Ошибка при работе со структурой
07:52:25 - Практика ООП ""Симулятор компьютерного клуба""
08:27:16 - Роман Сакутин ""Явное и неявное преобразование типов в C#""
08:33:20 - Upcasting и Downcasting в сишарп
08:43:41 - Преобразование объектов с помощью is и as
08:48:23 - Pattern Matching в сишарп
08:51:05 - enum - что за тип данных в сишарп?
08:56:15 - Введение в LINQ 
09:03:31 - Методы расширения  LINQ",PT9H19M56S,C#
aB9LJ9oHGOs,Learn C# with these 9 LINES OF CODE - Unity Tutorial!,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aB9LJ9oHGOs?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Learn C# with these 9 LINES OF CODE - Unity Tutorial!""></iframe>",188352,10934,335000,Blackthornprod,Learn C# with these 9 LINES OF CODE - Unity Tutorial!,2021-06-18,https://i.ytimg.com/vi/aB9LJ9oHGOs/mqdefault.jpg,"Xsolla: https://xsolla.pro/Blackthornprod
------------------------
Olobollo on Steam: https://store.steampowered.com/app/1592650/Olobollo/
------------------------
0:00 - Intro
0:50 - Xsolla Promo
1:24 - Variables
4:17 - GetComponent()
6:08 - Instantiate()
7:52 - Destroy()
9:27 - Loops
13:35 - If/else
16:04 - Input.GetAxisRaw()
18:59 - Vector2.MoveTowards()
21:00 - OnTriggerEnter2D()",PT25M16S,C#
Z5JS36NlJiU,C# for Beginners | Full 2-hour course,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z5JS36NlJiU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""C# for Beginners | Full 2-hour course""></iframe>",63822,1558,212000,dotnet,C# for Beginners | Full 2-hour course,2022-02-09,https://i.ytimg.com/vi/Z5JS36NlJiU/mqdefault.jpg,"C# is a powerful and widely used programming language that you can use to make websites, games, mobile apps, desktop apps and more with .NET. In this video, we'll teach you all the basics of C# and show you how to build a bank account.

Get the .NET Interactive Notebooks and follow along at home: https://aka.ms/csharpnotebooks 
Free self-guided learning for .NET & C#: https://docs.microsoft.com/en-us/users/dotnet/collections/yz26f8y64n7k07?WT.mc_id=dotnet-56973-cxa
Download .NET: https://dotnet.microsoft.com/en-us/download?WT.mc_id=dotnet-56973-cxa

Jump to:
00:00:00 – Start
00:00:09 – What is C#
00:01:27 – C#: Hello World
00:06:01 – C#: The Basics of Strings
00:14:35 – C#: Searching Strings
00:17:27 – C#: Numbers and Integer Math
00:22:04 – C#: Numbers and Integer Precision
00:27:32 – C#: Numbers and Decimals
00:33:10 – C#: Branches (if)
00:44:29 – C#: “Hello World” Explained
00:50:29 – C#: What are Loops?
00:57:42 – C#: Combining Branches and Loops
01:04:34 – C#: Arrays, List, and Collections
01:15:09 – C#: Sort, Search, and Index Lists
01:22:08 – C#: Lists of Other Types
01:29:51 – C#: Debugging
01:34:30 – C#: Object Oriented Programming – Objects and Classes
01:47:20 – C#: Object Oriented Programming – Methods and Members
01:56:02 – C#: Object Oriented Programming – Methods and Exceptions
02:03:00 – C#: Object Oriented Programming – Catching Exceptions

#dotnet #csharp #beginner",PT2H15M28S,C#
dZSLm4tOI8o,The Perfect C# Console Application...Or Not.,https://www.youtube.com/watch?v=dZSLm4tOI8o,34582,942,352000,IAmTimCorey,The Perfect C# Console Application...Or Not.,2022-10-03,https://i.ytimg.com/vi/dZSLm4tOI8o/mqdefault.jpg,"There are certain best practices every C# application should follow, right? Probably DRY, SOLID, Logging, Dependency Injection, Localization, Separation of Concerns, and Unit Testing at the very least. These seem like obvious things that every application should have. In this video, we are going to do something a bit unique. I am going to show you how to do all of those things, and I am going to show you why you shouldn't always do those things. We are going to build the ultimate Hello World application. You won't want to miss it.

Full Training Courses: https://www.IAmTimCorey.com
Source Code: https://leadmagnets.app/?Resource=PerfectConsoleApp
Patreon: https://www.patreon.com/IAmTimCorey
Mailing List:  https://signup.iamtimcorey.com/",PT59M20S,C#
fG290-1sljc,"C# vs. JAVA: Сделай Правильный Выбор! / Какой ЯП учить в 2023? / НАТИВ / Павел Львов, Семен Пирко","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/fG290-1sljc?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""C# vs. JAVA: Сделай Правильный Выбор! / Какой ЯП учить в 2023? / НАТИВ / Павел Львов, Семен Пирко""></iframe>",3359,141,10800,TeachMeSkills Школа программирования,"C# vs. JAVA: Сделай Правильный Выбор! / Какой ЯП учить в 2023? / НАТИВ / Павел Львов, Семен Пирко",2022-11-08,https://i.ytimg.com/vi/fG290-1sljc/mqdefault.jpg,"🤚 Привет! Вы на канале ""TeachMeSkills Школа программирования""! И это новый выпуск рубрики НАТИВ в формате подкаста. Сегодня поговорим об Aйти и не только. 🧐 Мы взяли за основу одну из самых беспощадных тем для споров - Java или C#: что лучше, важнее, популярнее, быстрее и круче? Какой язык программирования перспективнее: Си Шарп или Джава? Чем отличается Джава от Си Шарп? Какой язык программирования учить в 2023 году? Visual Studio и IntelliJ IDEA: почему второму больше доверяют? Kotlin заменит Java? Кто из программистов зарабатывает больше? Как выбрать язык программирования? Поделятся своим опытом работы и помогут во всем разобраться Павел Львов и Семен Пирко. Приятного просмотра! Поехали! 

❗️Ссылка на курс С# (.Net) разработчик - https://teachmeskills.by/kursy-programmirovaniya/kursy-asp-net-online 
❗️Ссылка на курc Java разработчик - https://teachmeskills.by/kursy-programmirovaniya/obuchenie-java-online 

🧔Профайл Павла - https://www.linkedin.com/in/pavel-lvou-328139146/ 
👱‍♀️Профайл Семена - https://www.linkedin.com/in/simonpirko/ 
🧔Telegram Ильи (для ваших предложений по контенту) - @ilyarublevsky

Что еще будет в видео👇
0:00 - Интро 
2:00 - Интро про C# (что за язык, почему с ним начал работать) 
3:03 - Интро про Java (в том же ключе) 
4:30 - Почему есть противостояние Java и C#
8:03 - Почему в Java такой сложный синтаксис 
12:56 - Почему C# так похож на Java (на этапе создания языка) 
16:00 - Про Visual Studio и IntelliJ IDEA
22:30 - Про библиотеки и фреймворки Java  - почему так много 
26:10 - Про стоимость Enterprise-решений - на чем дороже (Java или C#)
32:16 - Про совместимость языков для работы на любых ОС 
34:08 - Про «наследие» Java и C# (геймдев, мобильные платформы и т.д.) 
41:33 - Почему Java так часто обновляется 
47:45 - Про использование языков в Cloud-решениях 
51:47 - Какие специалисты дороже 
54:15 - Сколько лет осталось Шарпам и Джаве
58:42 - Вольный ПАНЧлайн участников

#teachmeskills #ityoutubersru #войтивайти",PT1H5M8S,C#
