courseId,courseTitle,embeddedURL,views,likes,subscribers,channelName,videoTitle,uploadDate,thumbnail,description,duration
XDgKY-RPrHs,This Was WAY Harder Than I Expected... [Genshin Impact Swords Only],"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/XDgKY-RPrHs?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""This Was WAY Harder Than I Expected... [Genshin Impact Swords Only]""></iframe>",61302,5179,237000,JavaTheCup,This Was WAY Harder Than I Expected... [Genshin Impact Swords Only],2023-02-01,https://i.ytimg.com/vi/XDgKY-RPrHs/mqdefault.jpg,"The Spiral Abyss...

With Alhaitham on the party now, we can build a juice hyperbloom team and take on the Spiral Abyss... right?

Wrong.

The plan was speedrun Lantern Wrong (Rite) for C2 Xingqiu, then absolutely curb-stomp the Spiral Abyss. Though I think we were the one getting curb-stomped.

Swords Only in Genshin Impact can be quite challenging at times. However, as the self-proclaimed master of ""Weapon"" Only challenges in this game, I am able to best any obstacle (probably).

HoYoVerse put out a tweet saying ""Polearm Impact""... So I decided to take it upon myself to make a new account, but only use characters who wield a sword because absolutely nobody asked me to.

Link to the Swords Only Playlist: 
https://www.youtube.com/playlist?list=PL3VijV5g5vXxnc4OzhpwB61gbShLO1Z12

 --------------------------------------------------------------------------------------------------------------------------

10% off everything at GamerSupps:
https://gamersupps.gg/Java

Twitch:
https://www.twitch.tv/javathecuptv

Twitter:
https://twitter.com/Java_The_Cup

Discord:
https://discord.gg/javathecafe

#Genshin #GenshinImpact #alhaitham",PT22M9S
A74TOX803D0,Java Programming for Beginners – Full Course,"<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/A74TOX803D0?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Java Programming for Beginners – Full Course""></iframe>",299603,7282,7150000,freeCodeCamp.org,Java Programming for Beginners – Full Course,2022-09-27,https://i.ytimg.com/vi/A74TOX803D0/mqdefault.jpg,"Learn the Java programming language in this complete beginner's course. You will learn all the main features of Java (version 17) and how to use Java for your own projects. 
🔗 Code along on Replit: https://join.replit.com/java-students

✏️ Farhan Hasin Chowdhury created this course.

🏗 Replit provided a grant that make this course possible.

🔗 https://www.freecodecamp.org/news/how-to-use-arrays-binarysearch-in-java/
🔗 https://www.freecodecamp.org/news/programming-naming-conventions-explained/

⭐️ Contents ⭐️
⌨️ (0:00:00) Hello World
⌨️ (0:06:39) Variables
⌨️ (0:13:12) Data Types
⌨️ (0:20:27) Operators
⌨️ (0:47:33) Strings
⌨️ (1:16:42) User Inputs
⌨️ (1:35:13) Conditional Statements
⌨️ (1:46:38) Switch Cases
⌨️ (1:55:59) Arrays
⌨️ (2:27:45) For Loops
⌨️ (2:47:22) While Loops
⌨️ (2:50:20) Do...While Loops
⌨️ (2:52:02) ArrayLists
⌨️ (3:12:25) HashMaps
⌨️ (3:28:38) Object Oriented Programming


🎉 Thanks to our Champion and Sponsor supporters:
👾 Raymond Odero
👾 Agustín Kussrow
👾 aldo ferretti
👾 Otis Morgan
👾 DeezMaster

--

Learn to code for free and get a developer job: https://www.freecodecamp.org

Read hundreds of articles on programming: https://freecodecamp.org/news",PT4H11M
BGTx91t8q50,Java Tutorial for Beginners 2023,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BGTx91t8q50?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Java Tutorial for Beginners 2023""></iframe>",299528,10043,1910000,Telusko,Java Tutorial for Beginners 2023,2023-01-08,https://i.ytimg.com/vi/BGTx91t8q50/mqdefault.jpg,"Learn Java programming from basics.

00:00:00 Intro
00:05:04 JDK setup
00:13:21 First code in java
00:24:35 How Java Works
00:36:34 Variables
00:48:11 Data types
01:00:28 Literal
01:04:49 Type conversion
01:17:20 Assignment Operators
01:27:32 Relational Operators 
01:35:35 Logical Operators
01:46:47 If Else
01:59:45 If Else if
02:05:18 ternary
02:09:51 Switch Statement
02:17:50 Need For Loop
02:21:12 While Loop
02:33:35 Do While Loop
02:36:48 For Loop
02:50:06 Which Loop To Use
02:51:48 Class And Object Theory
02:57:30 Class and Object Practical
03:13:03 JDK JRE JVM
03:18:22 Methods
03:29:44 Method Overloading
03:35:41 Stack And Heap
03:48:12 Need of an Array
03:52:01 Creation of Array
03:59:28 Multi Dimensional Array
04:12:30 Jagged and 3D Array
04:18:08 Drawbacks of Array
04:20:54 Array of Objects
04:29:42 Enhanced for loop
04:35:07 What is String
04:42:24 Mutable vs Immutable string
04:48:43 StringBuffer and StringBuilder
04:54:23 static variable
05:01:26 static block
05:08:43 static method
05:13:25 Encapsulation
05:25:04 Getters and setters
05:27:55 this keyword
05:37:36 constructor
05:44:35 default vs parameterized constructor
05:49:36 this and super method
06:01:42 Naming Convention
06:06:08 Anonymous Object
06:10:51 Need of Inheritance
06:17:06 What is Inheritance
06:25:50 Single and Multilevel inheritance
06:29:41 Multiple Inheritance
06:36:16 Method Overriding
06:44:05 packages
06:56:20 Access Modifiers
07:04:42 Polymorphism
07:08:31 Dynamic Method Dispatch
07:16:29 Final keyword
07:22:43 Object Class equals toString hashcode
07:34:41 Upcasting and Downcasting
07:41:17 abstract keyword
07:53:26 Inner class
07:59:03 Anonymous Inner class
08:04:11 abstract and anonymous inner class
08:07:22 What is Interface
08:15:18 More on Interfaces
08:18:40 Need of Interface
08:27:11 What is Enum
08:34:04 enum if and switch
08:37:59 Enum Class
08:45:45 What is Annotation
08:53:14 Functional Interface
08:56:43 Lambda Expression
09:02:51 Lambda Expression with return
09:06:08 Types of Interface
09:10:41 What is Exception
09:15:57 Exception Handling using try catch
09:21:58 try with multiple catch
09:32:14 Exception Hierarchy
09:36:30 Exception throw keyword
09:42:05 Custom exception
09:45:35 Ducking Exception using throws
09:55:29 User Input using BufferedReader and Scanner
10:07:17 try with resources
10:15:25 Threads
10:20:37 Multiple Threads
10:31:58 Thread Priority and Sleep
10:39:20 Runnable vs Thread
10:47:45 Race Condition
11:00:15 Thread states
11:03:45 Collection API
11:08:30 ArrayList
11:20:23 Set
11:27:30 Map
11:37:32 Comparator vs Comparable
11:53:15 Need of Stream API
12:00:12 forEach Method
12:05:01 Stream API
12:14:09 Map Filter Reduce Sorted


Wrapper Class in Java :- https://youtu.be/Fyc86kVIePE

github repo : https://github.com/navinreddy20/Javacode.git

Instagram : https://www.instagram.com/navinreddyofficial/
Linkedin : https://in.linkedin.com/in/navinreddy20


More Learning :

Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Boot  :- https://bit.ly/3aucCgB
Spring Framework :- https://bit.ly/3GRfxwe

Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG


Donation:
PayPal Id : navinreddy20
Patreon : navinreddy20
http://www.telusko.com/contactus",PT12H23M23S
UmnCZ7-9yDY,Java Tutorial for Beginners | Learn Java in 2 Hours,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/UmnCZ7-9yDY?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Java Tutorial for Beginners | Learn Java in 2 Hours""></iframe>",3515323,98525,3260000,Apna College,Java Tutorial for Beginners | Learn Java in 2 Hours,2021-07-03,https://i.ytimg.com/vi/UmnCZ7-9yDY/mqdefault.jpg,"Are you worried about placements/internships? Want to prepare for companies like Microsoft, Amazon & Google? Join ALPHA.
🔴 Alpha Placement Batch - https://bit.ly/3ELJjn2


Join the Community : https://telegram.me/+k4rdgTPwmm5kMGVl

Link to Java Notes : https://docs.google.com/document/d/1oH3njzRKmyC_igBsCp4b2E3s7GrJdGfIilPAahDV5W8/edit?usp=sharing

Timestamps:-
0:00 Introduction
Install Java - 01:00
Sample Code - 06:05
Comments - 07:34
Out 1st Program - 08:37
Variables - 11:23
Data Types - 14:00
Strings - 23:13
Arrays - 29:33
Casting - 42:32
Constants - 48:05
Operators(Arithmetic & Assignment) - 49:52
Math class - 57:59
Taking Input - 01:00:45
Comparison Operators - 01:04:48 
Conditional Statements (if-else) - 01:07:10
Logical Operators - 01:09:00
Conditional Statements (switch) - 01:17:55
Loops - 01:21:29
Break & Continue - 01:34:13
Exception Handling (try-catch) - 01:40:29
Functions/Methods - 01:46:46
Mini-Project - 01:56:18

Telegram: https://t.me/apnikakshaofficial
Instagram: https://www.instagram.com/dhattarwalaman/",PT2H4M35S
j9VNCI9Xo80,Java Tutorial For Beginners 2023,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/j9VNCI9Xo80?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Java Tutorial For Beginners 2023""></iframe>",52979,2011,444000,Amigoscode,Java Tutorial For Beginners 2023,2022-10-24,https://i.ytimg.com/vi/j9VNCI9Xo80/mqdefault.jpg,"Learn Java with over 25 hours of content. Java is is a well known programming languages that used by millions of people. 

Welcome to Amigoscode's most comprehensive Java course! This Java tutorial includes everything you need to gain a complete understanding of Java, code well and build your own applications.

Earlier this year, I taught a Java Bootcamp in London for over a year. Then an idea struck me: why not bring all this value to Amigoscode's community in the form of a Master Class? 

Thanks to six months of preparation and an amazing effort by Amigoscode team, I am excited to announce that we have surpassed our goal. 

We have also added features to ensure your success within the shortest possible time

✅ 35-chapter roadmap: a structured path that teaches all the fundamentals and seamlessly progresses into the advanced concepts

✅ Active learning: a ton of exercises and guided projects I have prepared specially for this course: Command Line Interface and Spring Boot projects

✅ Error message? Post the problem to the dedicated Discord class, and your classmates and I will be there to help you quickly move forward

✅ Bitesize structure: 301 lessons amounting to 20 hours of video, plus Amigoscode Textbook for easy access to code and additional information

Sign up to receive a 20% discount for Java Master Class: https://amigoscode.com/p/java-master-class

#java #javatutorial  #learnjava  

Don't Forget to:
===========================================
💯  Subscribe to Amigoscode -  http://bit.ly/2HpF5V8
💯  Courses Available for free here - https://amigoscode.com/courses
💯  Join Private Facebook Group and Discord - https://amigoscode.com/p/join-community

⭐  Table Of Contents ⭐
00:00 - Introduction
01:25 - What is Java
05:23 - Java Master Class
07:03 - What Can You Build with Java
10:05 - Java Usages
16:33 - How to Write Java Code
20:06 - IntelliJ Idea
25:01 - JetBrains ToolBox 
28:28 - Quick Word Before We Begin
30:13 - Create a project
33:30 - Your First Java Program
36:01 - Compiling and Running via Terminal 
39:43 - Fixing Compilation Errors
44:31 - Public Static Void Main 
47:23 - Understanding Java Code
50:37 - SOUT Keyboard Shortcut
52:30 - Reserved Keywords
54:34 - Comments
57:08 - Variables
01:01:14 - Primitives Data Type Difference
01:06:16 - Numeric Literals with Underscore
01:08:06 - Arithmetic Operators
01:11:18 - Increment and Decrement Operators
01:16:03 - Comparison Operators
01:18:53 - Shorthand Reassignment
01:22:20 - Naming Variables
01:25:36 - Strings
01:32:21 - String API Documentation
01:34:36 - Reference Types and Objects
01:39:46 - Reference Types and Objects Differences
01:46:09 - Arrays
01:53:59 - 0 and Null Values for Arrays
01:57:25 - Quick Word on Arrays
01:58:54 - Loops and Arrays
02:02:33 - If Statements
02:05:56 - Packages
02:08:26 - Methods
02:11:55 - Method Example
02:17:14 - Exercise
02:18:45 - Classes and Objects
02:21:00 - Your First Class
02:25:04 - Outro

===========================================
🙊  Here are the goods for all my videos video 🙊 

► Recommended Books
===========================================
- Clean Code - https://amzn.to/2UGDPlX
- HTTP: The Definitive Guide  - https://amzn.to/2JDVi8s
- Clean Architecture - https://amzn.to/2xOBNXW

► Computer and Monitor
===========================================
- New Apple MacBook Pro - https://amzn.to/3464Mmn
- Dell 27 INCH Ultrasharp U2719D Monitor - https://amzn.to/2xM3nW1
- Double Arm Stand Desk Mount - https://amzn.to/3aYKKfs
- USB C Hub Multiport Adapter - https://amzn.to/2Jz7NlL

► Camera Gear
=============================================
- Sony ILCE7M3B Full Frame Mirrorless Camera - https://amzn.to/346QIJn
- Sigma 16 mm F1.4 DC DN - https://amzn.to/2wbic3Q
- Sigma 33B965 30 mm F1.4 DC DC - https://amzn.to/39G37Fd

► IDE & Tools I use for coding 💻   🎒
===========================================
- ITerm
- VsCode
- GoLand
- IntelliJ Ultimate
- Sublime

P.S
 ===========================================
💯   Don't forget to subscribe | http://bit.ly/2HpF5V8
💯  Join Private Facebook Group and Discord - https://amigoscode.com/p/join-community
💯  Follow me on Instagram | http://bit.ly/2TSkA9w

❤️  Thanks for watching",PT2H26M13S
ccv1a2HBk5M,JAVA анхан шатыг 1 цаг 30 минутад,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ccv1a2HBk5M?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""JAVA анхан шатыг 1 цаг 30 минутад""></iframe>",9580,365,3540,Sod-Od Batzorig,JAVA анхан шатыг 1 цаг 30 минутад,2022-02-06,https://i.ytimg.com/vi/ccv1a2HBk5M/mqdefault.jpg,"Энэхүү хичээл нь JAVA хэлийг анхлан сурч байгаа хүмүүст зориулсан бөгөөд цаашид дунд, гүнзгий гэх 2 цуврал гарах болно. Объект хандалтад програмчлалын SOLID зарчмыг 2 дахь бичлэгт оруулна аа. Та бүхэн Subscribe дараарай. Амжилт хүсье.

Нэг мэдээллийн чанартай юм хэлэхэд

Ер нь 18 нас хүрээд програм бичиж сурах нь одоо цагт хэтэрхий орой юм. Бага, дунд наснаас нь авьяаслаг Talent-уудыг илрүүлж, хөгжүүлэх хэрэгтэй. Тэр ажлыг Nest Education IT School хийх байгаа шүү.
Мөн ирэх намраас Mongol Valley - Монгол Валлей төслийн бүрэлдэхүүн болох NIT дээд сургууль шинээр програм хангамж чиглэлээр бакалаврын элсэлтээ авахаар бэлтгэж байна. АйТи Talent-уудын цуглах газар болох болноо 😊

FB: https://www.facebook.com/Sodstar
IG: https://www.instagram.com/sododbatzorig/",PT1H20M14S
amEG0J20jRQ,Why This Tiny Island Has More People Than Russia,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/amEG0J20jRQ?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Why This Tiny Island Has More People Than Russia""></iframe>",2540768,64780,6580000,RealLifeLore,Why This Tiny Island Has More People Than Russia,2022-08-08,https://i.ytimg.com/vi/amEG0J20jRQ/mqdefault.jpg,"Watch more than 20 additional RealLifeLore videos in my Modern Conflicts series on Nebula: https://nebula.tv/modernconflicts

Please Subscribe: http://bit.ly/2dB7VTO​​​

Select video clips courtesy of Getty Images

Select video clips courtesy of the AP Archive

Special thanks to MapTiler / OpenStreetMap Contributors and GEOlayers 3",PT20M49S
qOWPCPCDRZs,Java Full Course in Tamil  Basics | OOP | Mini Project  | Logic First Tamil,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qOWPCPCDRZs?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Java Full Course in Tamil  Basics | OOP | Mini Project  | Logic First Tamil""></iframe>",1321430,28586,100000,Logic First Tamil,Java Full Course in Tamil  Basics | OOP | Mini Project  | Logic First Tamil,2021-08-14,https://i.ytimg.com/vi/qOWPCPCDRZs/mqdefault.jpg,"00:00:00 - Introduction, IDE installation
00:11:44 - First Program
00:36:40 - Variables and Datatypes
00:53:32 - Comments, Literals and Type Conversion
01:08:14 - Getting Inputs
01:20:26 - Arithmetic Operators
01:30:38 - Relational Operators
01:35:17 - Bitwise Operators
01:54:38 - Short Circuit Operator and Operator Precedence
02:06:23 - Increment Decrement Tricky Questions
02:16:05 - If Else
02:27:26 - If Else Programs, Code Signal Questions
02:43:47 - Switch
02:54:12 - Arrays
03:06:05 - Loops
03:29:26 - Nested Loops
03:38:15 - Loop Control Statements
03:55:16 - Arrays and Loops - Solving Leetcode Questions
04:11:59 - ForEach Loop
04:15:26 - OOP Classes and Objects
04:30:17 - Methods
04:47:50 - Invoking Methods
04:54:20 - Constructor
04:59:22 - This Pointer
05:02:56 - Garbage Collector, Finalize
05:08:59 - Stack Implementation
05:32:11 - Method Overloading
05:43:09 - Passing Objects
05:50:34 - Passing References
06:03:39 - Returning Objects
06:09:11 - Recursion
06:16:34 - Access Control
06:24:06 - Encapsulation
06:27:20 - Static Data and Static Methods
06:38:47 - Command Line Arguments
06:44:25 - Varargs Variable Length Arguments
06:52:51 - Bus Reservation System Mini Project Outline
07:39:28 - Packages
07:49:52 - Inheritance
08:21:09 - Abstract Classes
08:36:31 - Protected Access Specifier, Final Keyword
08:41:39 - Object Class
08:57:19 - Multiple Inheritance Problem
09:00:24 - Reflection
09:08:19 - Enumeration Classes
09:12:28 - Wrapper Classes and Autoboxing
09:22:01 - InnerClasses
09:26:37 - Interfaces
09:55:21 - Anonymous Classes
10:02:39 - Lambda Expression
10:08:01 - Object Cloning
10:25:54 - Exception Handling
10:47:47 - MultiThreading
11:13:00 - Collections
11:37:34  - Learning Path for Java

#JAVA #JavainTamil
Source Code - https://github.com/LogicFirstTamil
DS and ALGO in C/CPP: https://www.youtube.com/watch?v=QQBVNwA9rDI&list=PLYM2_EX_xVvVMXkQt4qqosJTplBq5v5oX
DS and ALGO in Java: https://www.youtube.com/watch?v=t2U989oaI1Q&list=PLYM2_EX_xVvX7_AmNY-Deacp3rT3MIXnE
DS and ALGO Theory only: https://www.youtube.com/watch?v=t2U989oaI1Q&list=PLYM2_EX_xVvV3ieNdCBJ3FFnpB3FfhyfS

Java Playlist: https://www.youtube.com/playlist?list=PLYM2_EX_xVvVXm005Gt5unmqW6GGMjHxa
Java one video: https://www.youtube.com/watch?v=qOWPCPCDRZs&t=2751s
C Interview program playlist: https://www.youtube.com/playlist?list=PLYM2_EX_xVvV4Kypzs6haPDJrXBaYFVEd
C programming in one video: https://www.youtube.com/watch?v=JAy56OH58Y4&t=17269s
C programming playlist: https://www.youtube.com/watch?v=xKGg8UfR0mM&list=PLYM2_EX_xVvU7N5Lcp1SjKnGN5e6riUoj
C++ Playlist link: https://www.youtube.com/playlist?list=PLYM2_EX_xVvUppW1kS91ZNEI20k1V1liI

English channel link: https://www.youtube.com/channel/UCFhHB5_2UkzB4V5iL1oaI-Q/featured",PT11H44M16S
tklkyVa7KZo,Stream API in Java,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tklkyVa7KZo?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Stream API in Java""></iframe>",59498,1412,1910000,Telusko,Stream API in Java,2022-10-19,https://i.ytimg.com/vi/tklkyVa7KZo/mqdefault.jpg,"Instagram : https://www.instagram.com/navinreddyofficial
Linkedin : https://in.linkedin.com/in/navinreddy20

More Learning :

ForEach Method in Java: https://www.youtube.com/watch?v=Wggc6Ziy8X8&ab_channel=Telusko

Functional Interface  : https://www.youtube.com/watch?v=4HC_WyBSDGA&t=47s&ab_channel=Telusko

Spring Boot  :- https://bit.ly/3aucCgB
Java - https://bit.ly/3xleOA2
Python   :- https://bit.ly/3H0DYHx
Django  :- https://bit.ly/3awMaD8
Spring Framework :- https://bit.ly/3GRfxwe
Servlet & JSP  :- https://bit.ly/3mh5CGz
Hibernate Tutorial :- https://bit.ly/3NWAKah
Rest API | Web Service Tutorial :- https://bit.ly/38RJCiy

Git :- https://bit.ly/3NUHB3V
JavaScript  :- https://bit.ly/3mkcFys
Kotlin  :- https://bit.ly/3GR2DOG",PT26M4S
yyLVNUUFFnA,Как стать Java Junior с нуля / Как стать программистом с нуля / Полный план,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yyLVNUUFFnA?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen title=""Как стать Java Junior с нуля / Как стать программистом с нуля / Полный план""></iframe>",363740,24196,83500,Vlad Mishustin,Как стать Java Junior с нуля / Как стать программистом с нуля / Полный план,2022-02-06,https://i.ytimg.com/vi/yyLVNUUFFnA/mqdefault.jpg,"Telegram-канал, где я рассказываю про подготовку к FAANG: https://t.me/+s6H3gieEDQ5kNDVi

В ролике я расскажу о том, что должен знать Junior Java разработчик в контексте самого языка Java, чтобы быть готовым пройти собеседование на эту позицию в любую компанию и успешно выполнять ежедневные задачи в этой роли. Важно подчеркнуть, что все эти вещи относятся только к Java. Существует еще ряд некоторых технологий и инструментов, о которых было бы здорово иметь представление при устройстве на работу, но о них стоит говорить отдельно. 
Я надеюсь, что это простое руководство поможет начинающим разработчикам выстроить достойный план обучения и на каждом его этапе понимать, почему они делают именно это и куда именно двигаются. 

00:00 Intro
02:01 Java core
06:50 Algorythms & Data Structures
08:29 SQL & JDBC
10:40 HTTP & Servlets
11:56 Maven & Gradle
14:52 Spring
16:24 JPA & Hibernate
18:13 Testing
19:50 Bonus

Java Core:
Основы Java:  https://clck.ru/aj6Bc
Углубленная Java: https://clck.ru/atH8r
Упражнения:  https://codingbat.com/java (eng), https://habr.com/ru/post/440436/, https://github.com/allicen/Java-1000
Платный курс: javarush.ru

Книги:
Начинающий: Изучаем Java, Берт Бейтс и Кэти Сьерра
Обычный: Философия Java, Брюс Эккель
Опытный: Java Эффективное программирование, Джошуа Блох; Чистый код, Роберт Мартин; OCP Oracle Certified Professional Java SE 11

Алгоритмы и структуры данных:
Книги: Грокаем алгоритмы, Бхаргава Адитья; 
Структуры данных и алгоритмы на Java, Роберт Лафоре
Упражнения: упражнения из Java Core, codewars.com (eng), https://www.hackerrank.com/domains/algorithms (eng)

SQL + JDBC
Видео-курс SQL: https://clck.ru/ZS96v
Видео-курс SQL 2: https://clck.ru/atHAz
Упражнения: www.sql-ex.ru, https://sql-academy.org/ru
Видео-курс JDBC: https://clck.ru/atHBf
Видео-курс JDBC 2: https://clck.ru/atHC6

HTTP, Servlets
Java EE для начинающих от alishev: https://clck.ru/atHCL

Maven, Gradle
Видео-курс Maven: https://clck.ru/atHCW
Статьи по Maven: https://habr.com/ru/post/77382/, https://clck.ru/atHCe
Видео-курс Gradle (eng): https://clck.ru/atHCs
Статьи по Gradle: https://clck.ru/atHDB, http://spring-projects.ru/guides/gradle/, https://clck.ru/atHDQ, https://clck.ru/atHDg

Spring
Видео-курс по Spring: https://clck.ru/atHDp
Документация (eng): https://clck.ru/YkRdA
Статьи: https://clck.ru/atHRj https://habr.com/ru/post/490586/

JPA/Hibernate
Видео-курс 1: https://clck.ru/atHRw
Видео-курс 2: https://clck.ru/atHS8
Статьи: 
https://easyjava.ru/data/jpa/, https://clck.ru/atHSQ , https://www.baeldung.com/learn-jpa-hibernate (eng)

Тесты
Статьи по JUnit: 
https://javarush.ru/groups/posts/605-junit, https://habr.com/ru/company/otus/blog/596033/, https://habr.com/ru/post/120101/
Видео:
https://clck.ru/atHSq, https://clck.ru/atHTG
Отличный канал с уроками, кстати ^

Бонус
Материалы:
https://javarevisited.blogspot.com/#axzz4gWVJPNgI, https://mkyong.com/, https://tproger.ru/digest/java/, https://clck.ru/atHTb , https://habr.com/ru/post/132241/, https://www.baeldung.com/, https://habr.com/ru/company/jugru/blog/424503/, https://github.com/akullpp/awesome-java, https://habr.com/ru/company/luxoft/blog/270383/,

Статьи: 
https://proglib.io/p/algorithms-structures-learn, https://clck.ru/atHTt, https://proglib.io/p/8-good-habits, https://proglib.io/p/open-source-for-novice, https://tproger.ru/translations/where-to-find-ideas/, https://proglib.io/p/27-puzzle-websites-to-sharpen-your-skills

Контакты: 
Instagram: https://www.instagram.com/soul_of_repyovka/
GitHub: https://github.com/mighty-mhsl
Email: mihusle@gmail.com
Буду рад ответить на любые вопросы насчет обучения или карьеры, дать некоторые советы. Пишите!

Дисклеймер:
Любое мнение высказанное в данном видео является моим личным и ни в коем случае не отражает позиции моего работодателя или связанных со мной организаций. 
Весь код, который может быть показан в этом ролике, пишется полностью мной для личных проектов и учебы, не является кодом из продакшена.

Мой PC:
Процессор: Intel Core i9-9900K 3.60 GHz
Оперативная память: Crucial BLS16G4D32AESC.M16FE 2x16GB
Видеокарта: Nvidia GeForce RTX 2080 8GB
Жесткий: SSD 1TB
ОС: Windows 10 Pro

Периферия: 
Клавиатура: Bloody Gaming RGB B81OR
Мышь: Беспроводная Logitech G305
Микрофон: MAONO AU-A04T
Наушники: Bloody G520S
Мониторы: Philips 243V7QDSB/00 x2
Кресло: Xiaomi Youran No.1 Ergonomic Chair 8H

Съемка:
Камера: Panasonic Lumix DMC-G80
Объектив: Zuiko 45mm f1.8
Смартфон: iPhone 13 Pro Max",PT21M49S
